	Genus		Species/Infraspecies	spEpithet	Cultivar	use	Trade Name	Group	Priority	Region	Distribution	Source	Notes	Last Review	Status
	Quercus		acerifolia	acerifolia		TRUE		Sect. Lobatae	High	NA	"US: AR and possibly expanded. Dry glades, slopes (500-800m)"	Any		2015
	Quercus		acrodonta	acrodonta		TRUE		?	Med	EA	"CN: Valleys and mountains; Gansu, Guizhou, Henan, Hubei, Hunan, Shaanxi, Sichuan, Yunnan (300-2300m)"	"High elevation in Gansu, Shaanxi"		2015
	Quercus		acuta	acuta		TRUE		Sect. Cyclobalanopsis	Low	EA	"JP: Honshu, Shikoku, Kyushu, KO, CN"	Honshu or Korea		2015
	Quercus		acutissima	acutissima		TRUE		Sect. Cerris	Med	EA	"CN: Deciduous forests; below 100x2200 m. Anhui, Fujian, Guangdong,
Guangxi, Guizhou, Hainan, Hebei, Henan, Hubei, Hunan, Jiangsu,
Jiangxi, Liaoning, Shaanxi, Shandong, Shanxi, Sichuan, SE Xizang,
Yunnan, Zhejiang [Bhutan, Cambodia, NE India, Japan, Korea,
Myanmar, Nepal, N Thailand, Vietnam]. "	"Japan, Korea, China (Hebei, Shanxi)"		2015
x	Quercus		alba	alba		TRUE		Sect. Quercus	High	NA	"US: Eastern - Moist to fairly dry, deciduous forests usually on deeper, well-drained loams, also on thin soils on dry upland slopes, sometimes on barrens; 0-1600 m"			2015
x	Quercus		aliena var. acutiserrata	aliena		TRUE		Sect. Quercus	Med	EA	"Mixed mesophytic forests; 100x2700 m. Anhui, Gansu, Guangdong,
Guangxi, Guizhou, Hebei, Henan, Hubei, Hunan, Jiangsu, Jiangxi, SE
Liaoning, Shaanxi, Shandong, Shanxi, Sichuan, Yunnan, Zhejiang
[Japan, Korea]. "			2015
	Quercus		aliena var. aliena	aliena		TRUE		Sect. Quercus	Med	EA	"Mixed mesophytic forests; 100x2000 m. Anhui, Guangdong, Guangxi, Guizhou, Hebei, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Liaoning, Shaanxi, Shandong, Sichuan, Yunnan, Zhejiang [Japan, Korea]."	"Hebei, Japan, Korea"		2015
	Quercus		aliena var. pekinensis	aliena		TRUE		Sect. Quercus	Med	EA	"Mixed mesophytic forests; 200x1900 m. Hebei, Henan, Liaoning,
Shaanxi, Shandong, Shanxi. "	"China (Hebei, Shaanxi, Shanxi)"		2015
	Quercus		arkansana	arkansana		TRUE		Sect. Lobatae	High	NA	"US: AR, LA, AL - Understory tree in well drained, sandy soils (50-150m)"	Any	Diversity or bed with drainage improvements	2015
	Quercus		austrina	austrina		TRUE		Sect. Quercus	Med	NA	"US: AL, FL, GA, MS, NC, SC, - River bottoms, wet forests, flatwoods (0-200m)"	"NC, SC"		2015
	Quercus		baronii	baronii		TRUE		Sect. Quercus	Med	EA	"Mixed mesophytic forests, frequently on limestone; 500x2200 m.
Gansu, Henan, Hubei, Hunan, Shaanxi, Shanxi, Sichuan. "	"Likely have best provenance (Gansu), need more replicates"		2015
	Quercus	x	bebbiana	bebbiana	Taco	FALSE		Sect. Quercus	Med	GD	Garden origin	"Need additional replicates, current plant may be NT"	"Hardy, fast growing"	2015
x	Quercus	x	bebbiana	bebbiana		FALSE		Sect. Quercus	Med	NA	Uncertain		Q. alba x Q. macrocarpa	2015
x	Quercus		bicolor	bicolor		TRUE		Sect. Quercus	High	NA	"US: Low swamp forests; moist slopes, poorly drained uplands (0-1000m)"			2015
	Quercus	x	bimundorum	bimundorum	Crimschmidt	FALSE	CRIMSON SPIRE	Sect. Quercus	High	GD	Garden origin			2015
	Quercus	x	bimundorum	bimundorum		FALSE		Sect. Quercus	Med	GD	Garden origin		Q. alba x Q. robur	2015
	Quercus		boyntonii	boyntonii		TRUE		Sect. Quercus	High	NA	"US: AL - Deep sands and crevices in pines forests, along streams (0-200m)"	"Any, depending on success of 2015 collections"		2015
	Quercus		brantii	brantii		TRUE			Low	CW	"Zagros Mnts, Asia Minor."	Any
	Quercus	x	britonii	britonii		FALSE		Sect. Lobatae	Med	NA	Uncertain		Q. marilandica x Q. illicifolia	2015
	Quercus		buckleyi	buckleyi		TRUE		Sect. Lobatae	Med	NA	"US: TX, OK. Limestone ridges and slopes (150-500m)"	Any		2015
	Quercus	x	burnetensis	burnetensis		FALSE		Sect. Quercus	Med	NA	Uncertain	Any	Q. virginiana x Q. macrocarpa	2015
	Quercus		castaneifolia	castaneifolia		TRUE		Sect. Cerris	Med	CW	"Caucasus Mtns in Iran, Azerbaijan"	Azerbaijan		2015
	Quercus		cerris	cerris		TRUE		Sect. Cerris	High	EU	"S and SC Europe excluding Iberian peninusla, extending to NW France"	Eastern Europe (Romania)		2015
	Quercus		chapmanii	chapmanii		TRUE		Sect. Quercus	Low	NA	"US: FL, GA, SC; open pine forests, scrublands, xerophytic scrub oak, on sand near coast (0-100m)"			2015
	Quercus		chenii	chenii		TRUE		Sect. Cerris	Med	EA	"Mixed mesophytic forests; below 600 m. Anhui, Fujian, Henan,
Hubei, Hunan, Jiangsu, Jiangxi, Shandong, Sichuan, Zhejiang. "	Henan		2015
	Quercus		coccifera	coccifera		TRUE		Sect. Cerris	Low	EU	Mediterranean region (but absent from much of Italy); C and S Portugal.	"Turkey, Bulgaria, fmr. Yugoslavia"		2015
	Quercus		cocciferoides	cocciferoides		TRUE		?	Med	EA	"China: Sunny mountains slopes, dry river valleys; 1000x2600 m. Shaanxi,
Sichuan, Yunnan. "	High elevation in Shaanxi		2015
	Quercus		coccinea	coccinea		TRUE		Sect. Lobatae	High	NA	"US: SE and Midwest. Poor soils, well drained uplands (0-1500m)"	Illinois/Southern Indiana or Eastern Ohio.		2015
	Quercus	x	cocksii	cocksii		FALSE		Sect. Lobatae	Med	NA	Uncertain		[Q. laurifolia x Q. velutina]	2015
	Quercus	x	cravensis	cravensis		FALSE		Sect. Lobatae	Med	NA	Uncertain		Q. incana x Q. marilandica	2015
	Quercus		dalechampii	dalechampii		TRUE		Sect. Cerris	Med	EU	"SE Europe, extending to SE Austria and Scilia"	"Austria, Hungary, Romania"		2015
x	Quercus	x	deamii	deamii		FALSE		Sect. Quercus	Med	NA	Uncertain		Q. macrocarpa x Q. muehlenbergii	2015
	Quercus		delavayi	delavayi		TRUE		Subg. Cyclobalanopsis	Low	EA	"Lauraceous or mixed Quercus and Pinus forests in mountains; 1000-2800 m. Guangxi, Guizhou, Hubei, Sichuan, Yunnan"	High elevation in Hubei		2015
	Quercus	x	demarei	demarei		FALSE		Sect. Lobatae	Med	NA	Uncertain		Q. nigra x Q. velutina	2015
	Quercus		dentata	dentata		TRUE		Sect. Mesobalanus	High	EA	"Mixed mesophytic forests; below 100x2700 m. Anhui, Gansu,
Guizhou, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu,
Jiangxi, Jilin, Liaoning, Shaanxi, Shandong, Shanxi, Sichuan, Yunnan,
Zhejiang [Japan, Korea]. "	"Various provinces in temperate China, Japan (Hokkaido, N. Honshu), Korea"		2015
	Quercus		dshorocensis	dshorocensis		TRUE			Med	CW	"Transcaucasus: Georgia. Dry slopes of middle and upper forest belt, 800-2400 m."			2015
x	Quercus		ellipsoidalis	ellipsoidalis		TRUE		Sect. Lobatae	High	NA	US: Upper Midwest. Dry sandy sites (150-500m)			2015
	Quercus	x	exacta	exacta		FALSE		Sect. Lobatae	Low	NA	Uncertain		Q. palustris x Q. imbricaria	2015
	Quercus		fabri	fabri		TRUE			Low	EA	"Mixed mesophytic forests; below 100x1900 m. Anhui, Fujian,
Guangdong, Guangxi, Guizhou, Henan, Hubei, Hunan, Jiangsu,
Jiangxi, S Shaanxi, Sichuan, Yunnan, Zhejiang"	S Shaanxi		2015
	Quercus		falcata	falcata		TRUE		Sect. Lobatae	High	NA	US: Southeast extended into S midwest and East coast. Dry or sandly upland sites (0-800m)	"IL, IN, S OH"		2015
	Quercus	x	faxonii	faxonii		FALSE		Sect. Quercus	Low	NA	Uncertain		Q. priniodies x Q. alba	2015
	Quercus	x	fernaldii	fernaldii		FALSE		Sect. Lobatae	Low	NA	Uncertain		Q. illicifolia x Q. rubra	2015
	Quercus	x	filialis	filialis		FALSE		Sect. Lobatae	Med	NA	Uncertain		Q. phellos x Q. velutina	2015
	Quercus		frainetto	frainetto		TRUE		Sect. Mesobalanus	High	EU	"EU: Balkan peninsula, extending northwards to Hungry and Romania; S. Italy."	"Hungary, Romania"		2015
	Quercus		fusiformis	fusiformis		TRUE		Sect. Quercus	Low	NA	"US: OK, TX. Hills, grasslands, scrublands, open woodlands, oak-juniper woodlands, and margins of thorn scrub, often on limestone or deep calcerous loams, someitmes on granular sand or gravel; 0-1200m."	Higher elevation in OK		2015
x	Quercus		gambelii	gambelii		TRUE		Sect. Quercus	Low	NA	"US: SW and Rocky mtns; montane conifer, oak-maple, and higher margins of juniper-pinyon woodlands; 1000-3030m."			2015
	Quercus		garryana	garryana		TRUE		Sect. Quercus	Low	NA	"US/Canada: Western. Oak woodlands, margins of redwood forests, mixed evergreen forests; 0-800m."	"Any, Higher elevation preffered"		2015
	Quercus		geminata	geminata		TRUE		Sect. Quercus	Low	NA	"US: SE coastal plan, open evergreen woodlands and scrublands on deep sandy soils (0-200m)"	"SC/NC, GA"	Drainage/sand bed may be required.	2015
	Quercus		georgiana	georgiana		TRUE		Sect. Lobatae	High	NA	US: Southeast. Granite outcrops/dry knolls (50-500m)	Alabama/GA border populations		2015
	Quercus		gilva	gilva		TRUE		Subg. Cyclobalanopsis	Low	EA	"Japan: Honshu (s. Kanto Distr. and westw.), Shikoku, Kyushu, Taiwan, China (Broad-leaved evergreen forests in mountains; 300-1500 m. Fujian, Guangdong, Guizhou, Hunan, Taiwan, Zhejiang)"	Honshu		2015
	Quercus		glauca	glauca		TRUE		Subg. Cyclobalanopsis	Low	EA	"Japan (Honshu, Shikoku, Kyushu), China (Broad-leaved evergreen forests and mixed mesophytic forests on mountain slopes or in valleys; below 100-2600 m. Anhui, Fujian, Gansu, Guangdong, Guangxi, Guizhou, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Shaanxi, Sichuan, Taiwan, Xizang, Yunnan, Zhejiang [Afghanistan, Bhutan, N India, Japan, Kashmir, Korea, Nepal, Sikkim, Vietnam]"	"Honshu, Korea, or high elevation provenance in Gansu"		2015
x	Quercus	x	guadalupensis	guadalupensis		FALSE		Sect. Quercus	Med	NA	Uncertain		Q. macrocarpa x Q. stellata	2015
	Quercus		hartwissiana	hartwissiana		TRUE		Sect. Quercus	Med	EU	"E. Bulgaria and Turkey, W. Caucasus"	Any		2015
	Quercus		havardii	havardii		TRUE		Sect. Quercus	High	NA	"US: NM, OK, TX; deep shifting or stablilized sand dunes, off deep sands in putative hybrid populations (500-1500m)"	Any		2015
	Quercus		hemisphaerica	hemisphaerica		TRUE		Sect. Lobatae	Low	NA	US: Southeast - mod-dry sandy soils (0-150m)	"VA, SC, NC."	Probably marginal	2015
	Quercus	x	heterophylla	heterophylla		FALSE		Sect. Lobatae	Med	NA	Uncertain		Q. phellos x Q. rubra	2015
	Quercus		ilicifolia	ilicifolia		TRUE		Sect. Lobatae	Med	NA	US: Northeast. Dry sandy soils and rocky outcrops (0-1500m)		Drainage may be required	2015
x	Quercus		imbricaria	imbricaria		TRUE		Sect. Lobatae	High	NA	US: Midwest E to Central PA - dry to mesic slopes and uplands (100-700m)			2015
	Quercus		incana	incana		TRUE		Sect. Lobatae	Low	NA	US: Southeast - sandy well-drained soils (0-250m)	SC or Central NC	Probably marginal. Sand bed or effective drainage may be required	2015
	Quercus	x	introgressa	introgressa		FALSE		Sect. Quercus	Low	NA	Uncertain		 [bicolor x (muehlenbergii x prinoides)] 	2015
	Quercus		ithaburensis	ithaburensis		TRUE		Sect. Cerris	Low	EU	EU: Southern Mediterranean region to SW Turkey (600-1600m)	"SW Turkey, higher elevation"	Drainage may be required	2015
x	Quercus	x	jackiana	jackiana		FALSE		Sect. Quercus	Med	NA	Uncertain		alba x bicolor	2015
	Quercus		kelloggii	kelloggii		TRUE		Sect. Lobatae	Low	NA	"US: CA, OR - slopes and valleys of hills/mnts (300-2400m)"	High elevation in N CA/ S OR	Of potential interest given success of Q. lobata	2015
	Quercus		laevis	laevis		TRUE		Sect. Lobatae	Low	NA	US: Southeast - dry sandy soils of sandhills/barrens (0-150m)	"VA, SC, NC."	Marginal? Sand bed may be required	2015
	Quercus		laurifolia	laurifolia		TRUE		Sect. Lobatae	Low	NA	US: Southeast - sandy flood plains/poorly drained uplands (0-150m)	"VA, SC, NC."	Probably marginal	2015
	Quercus	x	leana	leana		FALSE		Sect. Lobatae	Med	NA	Uncertain		Q. imbricaria x Q. velutina	2015
	Quercus		libani	libani		TRUE			Low	CW	"Syria, Lebanon, Asia Minor"	Mountains in Turkey
	Quercus		lobata	lobata		TRUE		Sect. Quercus	Low	NA	"US: Valley floors and moderate slopes, open grasslands, savannah and oak woodlands, riparian areas in chaparral; 0-1700 m; Calif"			2015
	Quercus	x	ludoviciana	ludoviciana		FALSE		Sect. Lobatae	Med	NA	Uncertain		Q. phellos x Q. pagoda	2015
	Quercus		lyrata	lyrata		TRUE		Sect. Quercus	High	NA	"Bottoms, lowlands, wet forest, streamside forests, swamp forests, periodically inundated areas; 0-200 m; Ala., Ark., Del., Fla., Ga., Ill., Ind., Iowa, Ky., La., Md., Miss., Mo., N.J., N.C., Okla., S.C., Tenn., Tex., Va."	"IL, OH, IN, IA"		2015
	Quercus	x	macdanielli	macdanielli	Clemons	FALSE	HERITAGE	Sect. Quercus	Med	GD	Garden origin			2015
	Quercus	x	macdanielli	macdanielli		FALSE		Sect. Quercus	Low	GD	Garden origin			2015
	Quercus		macranthera	macranthera		TRUE			Med	CW	"Transcaucasus: Georgia. Dry slopes of middle and upper forest belt, 800-2400 m."			2015
	Quercus		macrocarpa	macrocarpa	Rough Rider	FALSE		Sect. Quercus	Med	GD	Garden origin		Guy Sternberg. Cicada resistant	2015
x	Quercus		macrocarpa	macrocarpa		TRUE		Sect. Quercus	High	NA	"US: Eastern - Bottomlands, riparian slopes, poorly drained areas, prairies, usually on limestone or calcareous clays (in nw part of range on dry slopes and ridges, prairies); 0-1000 m"			2015
	Quercus		margaretta	margaretta		TRUE		Sect. Quercus	Med	NA	"US: SE - Deep sands and gravels, often in dense woods as understory or in open scrubland and pine barrens; 0-600 m"	"AK, MO. VA, or Carolinas"		2015
x	Quercus		marilandica	marilandica		TRUE		Sect. Lobatae	High	NA	US: SE and midwest expanded to east coast	"IL, MO, IA"		2015
	Quercus		michauxii	michauxii		TRUE		Sect. Quercus	Med	NA	US: Eastern. Bottomlands (0-600m)	"Southern IL, Cass County"		2015
	Quercus		minima	minima		TRUE		Sect. Quercus	Low	NA	"US: Southeast - Coastal plain, open evergreen woodlands and scrublands on deep sandy soils, often as understory with pines; 0-200 m"	Carolinas		2015
x	Quercus		mongolica	mongolica		TRUE		Sect. Quercus	Med	EA	"Mixed mesophytic forests; 200-2500 m. Gansu, Hebei, Heilongjiang, Henan, Jilin, Liaoning, Nei Mongol, Ningxia, Qinghai, Shaanxi, Shandong, Shanxi, Sichuan [Japan, Korea, Russia]"			2015
	Quercus		montana	montana		TRUE		Sect. Quercus	Med	NA	US: Eastern. Rocky upland forests (0-1400m)	"from Southern Illinois, Central Indiana, or Northeastern Ohio"		2015
x	Quercus		muehlenbergii	muehlenbergii		TRUE		Sect. Quercus	High	NA	US: Eastern and Central. Mixed deciduous forests (0-2300m)	Large fruited forms of Edwards Plateau (Q. muehlenbergii var. brayi)		2015
	Quercus		myrsinaefolia	myrsinaefolia		TRUE		Subg. Cyclobalanopsis	Low	EA	"Mixed mesophytic forests in mountain valleys; 200-2500 m. Anhui, Fujian, Guangdong, Guangxi, Guizhou, Henan, Hunan, Jiangsu, Jiangxi, Shaanxi, Sichuan, Taiwan, Yunnan, Zhejiang [Japan, Korea, Laos, N Thailand, Vietnam]"	"Japan, Korea, High Elevation areas of Henan or Shaanxi"		2015
	Quercus	x	neopalmeri	neopalmeri		FALSE		Sect. Lobatae	Med	NA	Uncertain		Q. nigra x Q. shumardii	2015
	Quercus		oglethorpensis	oglethorpensis		TRUE		Sect. Quercus	High	NA	"US: Southeast -  Alluvial flatwoods and streamsides in rich woods, low pastures, and edge of bottomland forests; of conservation concern; 0-200 m"	Any		2015
	Quercus		pagoda	pagoda		TRUE		Sect. Lobatae	Med	NA	US: SE but missing mntns. Poorly drained bottoms/mesic slopes	S IL or IN		2015
	Quercus		palustris	palustris		TRUE		Sect. Lobatae	High	NA	US: Midwest and Northeast. Bottoms and poorly drained clay (0-350m)	IL		2015
	Quercus		petraea	petraea		TRUE		Sect. Quercus	High	EU	"Western, Central, and Southeastern Europe, native and dominant in woods, usually on somewhat poorer soils than Q. robur."	Eastern Europe		2015
	Quercus		petraea subsp. iberica	petraea		TRUE		Sect. Quercus	Med	EU	Caucasus			2015
	Quercus		phellos	phellos		TRUE		Sect. Lobatae	Med	NA	US: SE and East Coast - bottomland flood plains (0-400m)	"IL or northern poplations in NY, NJ"		2015
	Quercus		phillyraeoides	phillyraeoides		TRUE			Low	EA	"Mixed mesophytic forests; 300-1200 m. Anhui, Fujian, Guangdong, Guangxi, Guizhou, Henan, Hubei, Hunan, Jiangxi, Shaanxi, Sichuan, Yunnan, Zhejiang [Japan, Korea]"	"Henan, Shaanxi, Korea"		2015
	Quercus	x	podophylla	podophylla		FALSE		Sect. Lobatae	Med	NA	Uncertain		Q. incana x Q. velutina	2015
	Quercus		pontica	pontica		TRUE			Med	CW	"Transcaucasus: Georgia. Moist, calcareous rocks, clay soil (800-1200m)"			2015
x	Quercus		prinoides	prinoides		TRUE		Sect. Quercus	High	NA	"US: Midwest and Northeast. Pine barrens, scrublands (0-500m)"	Illinois		2015
	Quercus		pubescens	pubescens		TRUE			Med	EU	"W, C, and S Europe, eastwards to Crimea"	Eastern Europe		2015
	Quercus		pumila	pumila		TRUE		Sect. Lobatae	Low	NA	US: SE Coastal plain: dry sandy soils (0-100m)	SC or NC	Marginal? sand bed may be required	2015
	Quercus		pyrenaica	pyrenaica		TRUE		Sect. Mesobalanus	Low	EU	EU: SW Europe; N. Italy	Any		2015
	Quercus	x	rehderi	rehderi		FALSE			Med	NA	Uncertain		Q. velutina x Q. illicifolia	2015
	Quercus	x	robbinsii	robbinsii		FALSE			Med	NA	Uncertain			2015
	Quercus		robur	robur		TRUE			High	EU	EU: Dominant except extreme north and parts of Mediterranean			2015
x	Quercus		rubra	rubra		TRUE		Sect. Lobatae	High	NA	US: SE and Midwest. Mesic slopes and well-drained uplands (0-1800m)			2015
	Quercus	x	rudkinii	rudkinii		FALSE			Med	NA	Uncertain		[Q. marilandica x Q. phellos]	2015
	Quercus	x	runcinata	runcinata		FALSE		Sect. Lobatae	Med	NA	Uncertain		[Q. imbricaria x Q. rubra]	2015
	Quercus		sadleriana	sadleriana		TRUE		Sect. Quercus	Low	NA	"US: CA, OR - open slopes (600-2200m)"	High elevation	Relictual nature may offer some hardiness outside native range	2015
	Quercus	x	sargentii	sargentii		FALSE		Sect. Quercus	Med	GD	Garden origin		 [montana x robur] 	2015
	Quercus	x	schochiana	schochiana		FALSE		Sect. Lobatae	Med	NA	Uncertain		Q. palustris x Q. phellos	2015
	Quercus		serrata	serrata		TRUE			Med	EA	"Deciduous forests; below 100-2000 m. Anhui, Fujian, Gansu, Guangdong, Guangxi, Guizhou, Henan, Hubei, Hunan, Jiangsu, Jiangxi, S Liaoning, Shaanxi, Shandong, S Shanxi, Sichuan, Taiwan, Yunnan, Zhejiang [Japan, Korea]"	"Gansu, Shanxi"		2015
x	Quercus		shumardii	shumardii		TRUE		Sect. Lobatae	High	NA	US: SE and Midwest. Mesic slopes and bottoms (0-500m)			2015
	Quercus		similis	similis		TRUE		Sect. Quercus	Med	NA	"US: SE - Forests in wet stream bottoms, flatwoods, river valleys; 0-300 m"	Arkansas or South Carolina		2015
	Quercus		sinuata	sinuata		TRUE		Sect. Quercus	Med	NA	"US: SE - Low wet areas, hummocks, riparian and limestone bluffs and prairies; 0-400 m"	Arkansas or Carolinas		2015
x	Quercus		stellata	stellata		TRUE		Sect. Quercus	High	NA	"US: Eastern - Usually on xeric sites, dry gravelly and sandy ridges and uplands, dry clays, prairies and limestone hills, woodlands and deciduous forests; 0-750 m"			2015
	Quercus	x	sterilis	sterilis		FALSE		Sect. Lobatae	Med	NA	Uncertain		Q. nigra x Q. marilandica	2015
	Quercus	x	sternbergii	sternbergii		FALSE		Sect. Lobatae	Med	NA	Texas		Q. shumardii x Q. buckleyi	2015
	Quercus	x	subfalcata	subfalcata		FALSE		Sect. Lobatae	Med	NA	Uncertain		Q. falcata x Q. phellos	2015
	Quercus		texana	texana	New Madrid	FALSE		Sect. Lobatae	Med	GD	Garden origin			2015
	Quercus		texana	texana		TRUE		Sect. Lobatae	Med	NA	"US: LA, AR, MS area: Floodplains and bottomlands (0-200m)"			2015
	Quercus	x	tridentata	tridentata		FALSE		Sect. Lobatae	Med	NA	Uncertain		Q. marilandica x Q.imbricaria	2015	
	Quercus		trojana	trojana		TRUE			Low	EU	"Balkan peninsula, mainly in West"	Bulgaria or Frmr. Yugoslavia		2015
	Quercus	x	undulata	undulata		FALSE		Sect. Quercus	Med	NA	Uncertain		Q. gambeli x Q. turbinella	2015
	Quercus		vaccinifolia	vaccinifolia		TRUE		Sect. Protobalanus	Low	NA	"US:  CA, NV, OR. Dry ridges (900-2800m)"	High elevation	With appropriate drainage this may be possible to grow as a prostrate shrub.	2015
	Quercus		variabilis	variabilis		TRUE		Sect. Cerris	Med	EA	"Evergreen and deciduous forests; below 3000 m. Anhui, Fujian, Gansu, Guangdong, Guangxi, Guizhou, Hebei, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Liaoning, Shaanxi, Shandong, Shanxi, Sichuan, Taiwan, Yunnan, Zhejiang"			2015
	Quercus		velutina	velutina		TRUE		Sect. Lobatae	High	NA	US: Eastern. Dry slopes and upland areas (0-1500m)			2015
	Quercus		virginiana	virginiana		TRUE		Sect. Quercus	Low	NA	"US: Coastal plain, open evergreen woodlands, scrublands, and hummocks on loam, clay, and rarely on sand on immediate coast; 0-200 m"	Tony and Michael's VA population		2015
	Quercus	x	warei	warei	Chimney Fire	FALSE		Sect. Quercus	Med	GD	Garden origin		Qxwarei x Q. alba - red fall color	2015
	Quercus	x	warei	warei	Long	FALSE	REGAL PRINCE	Sect. Quercus	Med	GD	Garden origin			2015
	Quercus	x	warei	warei	Nadler	FALSE	KINDRED SPIRIT	Sect. Quercus	Med	GD	Garden origin			2015
	Quercus	x	warei	warei		FALSE		Sect. Quercus	Med	GD	Garden origin			2015
	Quercus		yunnanensis	yunnanensis		TRUE		?	Low	EA	"CN: Broad-leaved and mixed mesophytic forests; 1000-2800 m. Guangdong, Guangxi, Guizhou, W Hubei, Sichuan, Yunnan"	"Hubei, Sichuan"	Close relative of Q. dentata	2015
	Quercus			#VALUE!	Firecracker	FALSE		Sect. Quercus	Med	GD	Garden origin		Q. petraea 'Muscaviensis' x Q. robur 'Fastiaga' - Guy Sternberg - 2nd flush with red highlights	2015
	Quercus			#VALUE!	Firewater	FALSE		Sec. Lobatae	Med	GD	Garden origin		Nigra x coccinea	2015
